Year,Region,Party,Alignment,Votes %,Votes N
1994,Drenthe,PvdD,Left-Wing,NA,NA
1994,Drenthe,50PLUS,Centre,NA,NA
1998,Drenthe,VVD,Centre-Right,21.62,58988
1998,Drenthe,PvdA,Centre-Left,37.3,101773
1998,Drenthe,PVV,Right-Wing,NA,NA
1998,Drenthe,SP,Left-Wing,2.87,7841
1998,Drenthe,CDA,Centre,17.92,48899
1998,Drenthe,D66,Centre,8.08,22051
1998,Drenthe,CU,Centre,NA,NA
1998,Drenthe,GL,Left-Wing,5.59,15257
1998,Drenthe,SGP,Right-Wing,0.25,675
1998,Drenthe,PvdD,Left-Wing,NA,NA
1998,Drenthe,50PLUS,Centre,NA,NA
2002,Drenthe,VVD,Centre-Right,16.14,47094
2002,Drenthe,PvdA,Centre-Left,23.79,69411
2002,Drenthe,PVV,Right-Wing,NA,NA
2002,Drenthe,SP,Left-Wing,5.01,14625
2002,Drenthe,CDA,Centre,25.99,75827
2002,Drenthe,D66,Centre,4.81,14037
2002,Drenthe,CU,Centre,3.44,10043
2002,Drenthe,GL,Left-Wing,6.18,18029
2002,Drenthe,SGP,Right-Wing,0.38,1119
2002,Drenthe,PvdD,Left-Wing,NA,NA
2002,Drenthe,50PLUS,Centre,NA,NA
2003,Drenthe,VVD,Centre-Right,16.81,51010
2003,Drenthe,PvdA,Centre-Left,37.82,114759
2003,Drenthe,PVV,Right-Wing,NA,NA
2003,Drenthe,SP,Left-Wing,5.07,15377
2003,Drenthe,CDA,Centre,24.81,75297
2003,Drenthe,D66,Centre,3.4,10312
2003,Drenthe,CU,Centre,2.88,8726
2003,Drenthe,GL,Left-Wing,4.13,12538
2003,Drenthe,SGP,Right-Wing,0.28,864
2003,Drenthe,PvdD,Left-Wing,0.36,1107
2003,Drenthe,50PLUS,Centre,NA,NA
2006,Drenthe,VVD,Centre-Right,14.33,44351
2006,Drenthe,PvdA,Centre-Left,30.73,95120
2006,Drenthe,PVV,Right-Wing,3.96,12248
2006,Drenthe,SP,Left-Wing,15.89,49193
2006,Drenthe,CDA,Centre,22.51,69694
2006,Drenthe,D66,Centre,1.27,3947
